Date,Price,10-day SMA,Smoothing Constant 2/(10 + 1),10-day EMA,
24-Mar-10,22.27,,,,
25-Mar-10,22.19,,,,
26-Mar-10,22.08,,,,
29-Mar-10,22.17,,,,
30-Mar-10,22.18,,,,
31-Mar-10,22.13,,,,
1-Apr-10,22.23,,,,
5-Apr-10,22.43,,,,
6-Apr-10,22.24,,,,
7-Apr-10,22.29,22.22,,22.22,
8-Apr-10,22.15,22.21,0.1818,22.21,
9-Apr-10,22.39,22.23,0.1818,22.24,
12-Apr-10,22.38,22.26,0.1818,22.27,
13-Apr-10,22.61,22.31,0.1818,22.33,
14-Apr-10,23.36,22.42,0.1818,22.52,
15-Apr-10,24.05,22.61,0.1818,22.8,
16-Apr-10,23.75,22.77,0.1818,22.97,
19-Apr-10,23.83,22.91,0.1818,23.13,
20-Apr-10,23.95,23.08,0.1818,23.28,
21-Apr-10,23.63,23.21,0.1818,23.34,
22-Apr-10,23.82,23.38,0.1818,23.43,
23-Apr-10,23.87,23.53,0.1818,23.51,
26-Apr-10,23.65,23.65,0.1818,23.54,
27-Apr-10,23.19,23.71,0.1818,23.47,
28-Apr-10,23.1,23.69,0.1818,23.4,
29-Apr-10,23.33,23.61,0.1818,23.39,
30-Apr-10,22.68,23.51,0.1818,23.26,
3-May-10,23.1,23.43,0.1818,23.23,
4-May-10,22.4,23.28,0.1818,23.08,
5-May-10,22.17,23.13,0.1818,22.92,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,, 
